subno;sex;aw;an;cxew;cxen

1;F;44.6667;44;43.2409;45.1564

2;F;42.7083;43.7273;46.8628;45.1278

3;F;41.6957;41.8182;44.4939;43.3712

4;F;34.7778;37.1364;35.2715;34.4035

5;F;47.0833;44.3478;46.2482;46.3137

6;F;39.7727;41.7647;42.9762;42.1587

7;F;44.125;44.6667;43.5898;43.6742

8;F;41.1667;42.2917;41.5536;39.4447

9;F;41.619;45.1304;41.803;43.173

10;F;38.7083;37.2083;38.7615;39.4606

11;F;38.5833;37.5417;38.22;38.214

12;F;38.125;38.875;38.6709;39.4718

13;F;42.8333;43.0417;42.7684;42.6061

14;F;35.7917;38.3333;36.8816;37.8219

15;F;33.3158;34.3125;30.0319;29.4278

16;M;43.7826;43.7619;43.5041;43.6543

17;M;49.7727;54.0952;50.7373;55.4451

18;M;28.5556;31.1176;28.8856;26.8333

19;M;33.7059;34.1765;34.6903;31.7301

20;M;38.6667;39.0435;37.7833;38.4417

21;M;41.1364;40.2609;38.3768;40.0405

22;M;52.9545;54.3913;54.9234;53.7414

23;M;44.125;42.6364;43.0367;42.6009

24;M;44.125;42.6364;43.0367;42.6009

25;M;44.625;42.7727;44.5337;43.3814

26;M;39.8261;41.875;42.2875;42.6104

27;M;40.2174;41.125;42.7546;42.9607

28;M;30.1176;34.4118;33.6941;31.9481

29;M;43.25;42.625;44.6222;44.6203

30;M;47.9048;49.1739;49.8551;49.8009

31;M;39.1304;38.0833;39.9209;39.7252

32;M;42.5217;46.0833;42.6268;42.7801
